Designator,Mid X,Mid Y,Rotation,Layer
C1,131.9125,-71.325,90.0,top
C10,155.9625,-79.975,270.0,top
C11,122.6125,-71.375,270.0,top
C12,151.7625,-74.325,270.0,top
C13,152.7125,-74.325,270.0,top
C14,165.5625,-74.175,180.0,top
C15,165.5625,-75.125,180.0,top
C16,154.6625,-73.625,90.0,top
C17,162.0625,-67.875,270.0,top
C18,159.2625,-79.934999,90.0,top
C19,155.8625,-69.375,0.0,top
C2,146.7125,-83.065001,0.0,top
C20,156.0625,-67.865001,270.0,top
C21,162.9125,-80.475,180.0,top
C22,168.902501,-73.625,0.0,top
C3,146.7125,-82.025,0.0,top
C4,146.7125,-76.225,0.0,top
C5,146.7125,-75.275,0.0,top
C6,146.7125,-80.025,0.0,top
C7,127.2625,-71.325,270.0,top
C8,160.9625,-67.874999,270.0,top
C9,157.1625,-67.865001,90.0,top
D1,143.9625,-74.025,180.0,top
J1,168.7,-80.125,90.0,top
L1,153.7125,-73.625,90.0,top
Q1,153.5625,-69.575,90.0,top
Q2,150.9125,-70.675,90.0,top
R1,131.9125,-69.375,270.0,top
R10,168.9025,-74.625,180.0,top
R11,151.3125,-68.475,180.0,top
R12,151.3125,-67.525,0.0,top
R13,146.722499,-79.075,0.0,top
R14,146.7125,-78.125,0.0,top
R2,162.9125,-81.425,0.0,top
R3,162.9125,-82.375,0.0,top
R4,146.7125,-77.175,180.0,top
R5,157.9625,-79.975,90.0,top
R6,156.9625,-79.975,270.0,top
R7,146.7125,-80.975,0.0,top
R8,154.9625,-80.025,270.0,top
R9,162.9125,-79.525,0.0,top
SW1,117.0625,-68.695,180.0,top
SW2,156.2625,-82.775,180.0,top
SW3,159.7625,-82.775,180.0,top
U1,112.1375,-72.6625,0.0,top
U2,129.6125,-70.275,90.0,top
U3,124.9125,-70.2875,90.0,top
U4,159.875,-74.375,0.0,top
Y1,159.0625,-67.865,0.0,top
