Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Shield,nc
"C1, C11, C2, C3, C7",0402,5,10µ,C315248
"C10, C12, C14, C20, C21, C22, C4, C5, C6",0402,9,1µ,C307413
"C13, C15, C16, C17, C18, C19",0402,6,100n,C1581
"C8, C9",0402,2,15p,C1548
D1,LED_Cree-PLCC4_2x2mm_CCW,1,WS2812B_Geaendertes_Symbol,C965555
J1,10118194,1,USB_B_Micro,C2926988
"J2, J3, J4, J5, J6, J7",TestPoint_Pad_D1.0mm,6,Conn_01x01,nc
L1,0402,1,2n2,C27122
"Q1, Q2",SOT-323_SC-70,2,BC817W,C75566
"R1, R11, R12, R4, R5, R6",0402,6,390K,C2906936
"R10, R13, R14, R8, R9",0402,5,5K1,C25905
"R2, R3, R7",0402,3,22,C2906914
SW1,SW_SPDT_PCM12,1,SW_DIP_x01,C223846
"SW2, SW3",microswitch,2,SW_Push,C913791
U1,SSD1306_OLED-0.91-128x32,1,SSD1306,nc
U2,TSOT-23-5,1,AP7383-41W5-7 TPS70939DBVR,C2868697
U3,TSOT-23-5,1,LN1134A332MR,C141419
U4,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3,C3013940
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz,C424431
